Time;     A1;     A2;     A3
0;10;-0,37;0,26
0,000308547;9,97;-0,37;0,32
0,000617093;10;-0,4;0,34
0,00092564;10,03;-0,37;0,37
0,001234187;9,97;-0,37;0,34
0,001542734;10,06;-0,4;0,34
0,00185128;10,06;-0,4;0,34
0,002159827;9,97;-0,34;0,29
0,002468374;9,97;-0,4;0,26
0,002776921;9,97;-0,4;0,29
0,003085467;9,97;-0,34;0,23
0,003394014;10;-0,37;0,2
0,003702561;9,97;-0,34;0,2
0,004011108;10;-0,37;0,26
0,004319654;9,97;-0,37;0,29
0,004628201;9,97;-0,4;0,26
0,004936748;10;-0,4;0,29
0,005245295;9,97;-0,37;0,34
0,005553841;10;-0,4;0,32
0,005862388;10,03;-0,37;0,32
0,006170935;10;-0,37;0,34
0,006479482;9,97;-0,37;0,32
0,006788028;10;-0,4;0,32
0,007096575;10,03;-0,34;0,32
0,007405122;9,97;-0,37;0,29
0,007713669;9,94;-0,34;0,26
0,008022215;9,97;-0,34;0,23
0,008330762;9,94;-0,34;0,23
0,008639309;9,94;-0,37;0,23
0,008947856;9,97;-0,37;0,23
0,009256402;9,94;-0,37;0,2
0,009564949;10;-0,37;0,23
0,009873496;9,97;-0,4;0,29
0,010182043;9,97;-0,37;0,34
0,010490589;10,06;-0,34;0,32
0,010799136;10,03;-0,37;0,34
0,011107683;10;-0,37;0,37
0,01141623;9,97;-0,4;0,32
0,011724776;9,94;-0,37;0,32
0,012033323;10;-0,37;0,29
0,01234187;9,97;-0,37;0,23
0,012650417;9,97;-0,37;0,26
0,012958963;10,03;-0,34;0,23
0,01326751;9,97;-0,37;0,2
0,013576057;9,97;-0,37;0,23
0,013884604;10,03;-0,34;0,26
0,01419315;9,94;-0,4;0,29
0,014501697;10,03;-0,37;0,32
0,014810244;10,06;-0,34;0,34
0,01511879;9,94;-0,37;0,34
0,015427337;10;-0,4;0,34
0,015735884;10,03;-0,34;0,34
0,016044431;9,97;-0,37;0,37
0,016352977;10;-0,34;0,34
0,016661524;10,03;-0,37;0,29
0,016970071;9,97;-0,4;0,23
0,017278618;9,92;-0,34;0,17
0,017587164;9,97;-0,37;0,2
0,017895711;10,03;-0,4;0,2
0,018204258;9,97;-0,34;0,23
0,018512805;9,92;-0,34;0,23
0,018821351;10,03;-0,37;0,29
0,019129898;10;-0,34;0,32
0,019438445;10;-0,37;0,34
0,019746992;10;-0,37;0,34
0,020055538;10,03;-0,37;0,37
0,020364085;10,03;-0,4;0,34
0,020672632;10;-0,37;0,37
0,020981179;10;-0,37;0,32
0,021289725;10;-0,37;0,23
0,021598272;9,97;-0,4;0,23
0,021906819;9,97;-0,34;0,23
0,022215366;9,97;-0,37;0,2
0,022523912;10;-0,37;0,23
0,022832459;9,94;-0,37;0,23
0,023141006;10;-0,34;0,26
0,023449553;10,03;-0,37;0,29
0,023758099;10;-0,37;0,32
0,024066646;9,97;-0,4;0,34
0,024375193;10;-0,37;0,34
0,02468374;9,97;-0,37;0,34
0,024992286;10;-0,34;0,32
0,025300833;10,03;-0,37;0,34
0,02560938;10;-0,37;0,29
0,025917927;9,94;-0,4;0,26
0,026226473;9,97;-0,37;0,23
0,02653502;10,06;-0,34;0,26
0,026843567;9,97;-0,37;0,2
0,027152114;9,94;-0,34;0,2
0,02746066;10;-0,37;0,2
0,027769207;9,94;-0,34;0,26
0,028077754;9,94;-0,37;0,29
0,028386301;10,06;-0,4;0,32
0,028694847;10;-0,37;0,29
0,029003394;9,94;-0,37;0,34
0,029311941;10;-0,37;0,34
0,029620488;10,03;-0,37;0,34
0,029929034;9,94;-0,4;0,32
0,030237581;9,97;-0,37;0,32
0,030546128;10,03;-0,34;0,34
0,030854674;10;-0,37;0,29
0,031163221;9,97;-0,34;0,23
0,031471768;9,94;-0,37;0,2
0,031780315;9,94;-0,37;0,23
0,032088861;9,94;-0,34;0,2
0,032397408;9,94;-0,37;0,23
0,032705955;9,97;-0,4;0,23
0,033014502;9,97;-0,37;0,29
0,033323048;10;-0,37;0,32
0,033631595;10,03;-0,37;0,34
0,033940142;10;-0,37;0,34
0,034248689;10,03;-0,37;0,37
0,034557235;10;-0,4;0,34
0,034865782;9,97;-0,34;0,37
0,035174329;10,03;-0,37;0,29
0,035482876;10;-0,37;0,23
0,035791422;9,94;-0,37;0,26
0,036099969;9,97;-0,37;0,2
0,036408516;9,97;-0,37;0,17
0,036717063;9,97;-0,34;0,23
0,037025609;9,97;-0,37;0,23
0,037334156;9,94;-0,37;0,26
0,037642703;10;-0,4;0,29
0,03795125;10,03;-0,37;0,32
0,038259796;10;-0,37;0,34
0,038568343;9,97;-0,37;0,37
0,03887689;10,06;-0,4;0,34
0,039185437;10,03;-0,37;0,37
0,039493983;9,97;-0,37;0,37
0,03980253;10,03;-0,4;0,29
0,040111077;9,97;-0,37;0,23
0,040419624;9,97;-0,37;0,2
0,04072817;10;-0,37;0,2
0,041036717;9,97;-0,37;0,2
0,041345264;9,94;-0,4;0,2
0,041653811;10;-0,34;0,23
0,041962357;10,03;-0,37;0,29
0,042270904;9,97;-0,43;0,32
0,042579451;9,97;-0,4;0,32
0,042887998;10,03;-0,37;0,34
0,043196544;10;-0,4;0,32
0,043505091;9,97;-0,37;0,34
0,043813638;10;-0,37;0,34
0,044122185;9,97;-0,37;0,29
0,044430731;9,97;-0,34;0,32
0,044739278;9,97;-0,37;0,29
0,045047825;9,97;-0,37;0,23
0,045356371;9,97;-0,4;0,2
0,045664918;9,94;-0,37;0,23
0,045973465;9,97;-0,34;0,26
0,046282012;10;-0,37;0,23
0,046590558;9,94;-0,34;0,26
0,046899105;9,97;-0,37;0,29
0,047207652;10,03;-0,37;0,29
0,047516199;10;-0,37;0,32
0,047824745;10;-0,34;0,32
0,048133292;9,97;-0,37;0,32
0,048441839;9,94;-0,34;0,29
0,048750386;10,03;-0,34;0,29
0,049058932;10;-0,34;0,32
0,049367479;9,97;-0,37;0,29
0,049676026;10;-0,37;0,26
0,049984573;9,97;-0,37;0,23
0,050293119;9,97;-0,37;0,26
0,050601666;9,97;-0,34;0,23
0,050910213;9,94;-0,37;0,23
0,05121876;10;-0,37;0,26
0,051527306;9,97;-0,4;0,23
0,051835853;9,97;-0,37;0,26
0,0521444;10;-0,37;0,32
0,052452947;9,97;-0,37;0,34
0,052761493;10;-0,37;0,34
0,05307004;10,03;-0,4;0,34
0,053378587;10;-0,37;0,37
0,053687134;9,97;-0,37;0,34
0,05399568;9,97;-0,37;0,34
0,054304227;9,97;-0,34;0,29
0,054612774;9,97;-0,37;0,26
0,054921321;9,97;-0,37;0,2
0,055229867;9,97;-0,37;0,2
0,055538414;9,94;-0,34;0,26
0,055846961;10;-0,37;0,23
0,056155508;10,03;-0,34;0,26
0,056464054;9,97;-0,37;0,29
0,056772601;10,03;-0,37;0,32
0,057081148;10,06;-0,37;0,32
0,057389695;9,97;-0,4;0,34
0,057698241;9,97;-0,4;0,37
0,058006788;10;-0,34;0,34
0,058315335;10,03;-0,37;0,34
0,058623882;10;-0,37;0,29
0,058932428;9,94;-0,4;0,26
0,059240975;9,94;-0,37;0,23
0,059549522;9,97;-0,37;0,23
0,059858068;9,94;-0,34;0,2
0,060166615;9,94;-0,37;0,23
0,060475162;9,97;-0,34;0,2
0,060783709;9,97;-0,37;0,26
0,061092255;10,03;-0,37;0,29
0,061400802;10;-0,37;0,32
0,061709349;9,97;-0,34;0,34
0,062017896;10,03;-0,4;0,37
0,062326442;10;-0,4;0,34
0,062634989;9,94;-0,37;0,34
0,062943536;10;-0,4;0,32
0,063252083;9,97;-0,37;0,32
0,063560629;9,94;-0,4;0,29
0,063869176;9,97;-0,37;0,23
0,064177723;9,94;-0,37;0,23
0,06448627;9,97;-0,37;0,23
0,064794816;9,97;-0,34;0,23
0,065103363;9,97;-0,37;0,23
0,06541191;9,97;-0,37;0,26
0,065720457;9,94;-0,37;0,29
0,066029003;10;-0,37;0,32
0,06633755;10,03;-0,4;0,32
0,066646097;10;-0,4;0,32
0,066954644;9,97;-0,37;0,34
0,06726319;10;-0,37;0,32
0,067571737;9,97;-0,34;0,32
0,067880284;9,94;-0,37;0,29
0,068188831;10;-0,37;0,26
0,068497377;9,97;-0,34;0,23
0,068805924;9,94;-0,37;0,23
0,069114471;9,97;-0,37;0,2
0,069423018;9,94;-0,37;0,23
0,069731564;9,97;-0,34;0,23
0,070040111;9,97;-0,37;0,2
0,070348658;9,97;-0,4;0,23
0,070657205;10,06;-0,37;0,32
0,070965751;10,06;-0,34;0,32
