,Time,A1,A2,A3
16900,5.214439988,8.59,1.35,-3.48
16901,5.214748534,7.76,-24.43,-1.09
16902,5.215057081,7.93,-13.62,-2.41
16903,5.215365628,8.25,-4.94,-3.39
16904,5.215674175,9.17,-12.93,-1.47
16905,5.215982721,11.01,-1.72,0.46
16906,5.216291268,8.82,7.33,0.69
16907,5.216599815,7.93,6.61,-1.09
16908,5.216908362,9.23,14.63,0.29
16909,5.217216908,10.46,17.24,3.54
16910,5.217525455,11.9,15.49,2.5
16911,5.217834002,10.46,16.7,1.26
16912,5.218142549,11.58,14.23,2.39
16913,5.218451095,13.97,9.63,3.33
16914,5.218759642,12.9,4.22,2.3
16915,5.219068189,12.5,-3.51,0.03
16916,5.219376736,10.43,-10.92,-0.06
16917,5.219685282,7.99,-14.28,0.57
16918,5.219993829,8.08,-16.21,0.09
16919,5.220302376,7.24,-17.33,-1.44
16920,5.220610923,8.36,-13.11,-1.67
16921,5.220919469,10.4,-7.36,0.26
16922,5.221228016,11.04,-3.28,-0.66
16923,5.221536563,12.47,0.69,0.92
16924,5.22184511,11.52,0.57,5.98
16925,5.222153656,9.43,-2.62,3.13
16926,5.222462203,10.26,2.39,0.03
16927,5.22277075,11.18,7.36,2.56
16928,5.223079297,10.35,4.2,0.92
16929,5.223387843,8.97,10.4,-3.19
16930,5.22369639,7.3,4.2,-3.82
16931,5.224004937,7.64,-18.8,-2.3
16932,5.224313483,9.83,-16.04,-2.01
16933,5.22462203,8.48,-12.36,-3.28
16934,5.224930577,7.79,-15.15,-2.85
16935,5.225239124,11.04,1.78,-0.89
16936,5.22554767,9.4,6.64,0.49
16937,5.225856217,7.16,6.38,0.03
16938,5.226164764,9.83,17.56,-0.4
16939,5.226473311,10.15,17.53,2.21
16940,5.226781857,10.32,16.7,3.65
16941,5.227090404,11.64,18.82,1.81
16942,5.227398951,11.32,15.35,1.52
16943,5.227707498,13.28,11.01,3.13
16944,5.228016044,14.6,3.91,2.9
16945,5.228324591,12.93,-2.41,0.89
16946,5.228633138,10.09,-9.89,-0.09
16947,5.228941685,8.36,-16.73,0.34
16948,5.229250231,9.02,-14.89,0.75
16949,5.229558778,6.81,-17.16,-0.11
16950,5.229867325,8.16,-15.12,-1.64
16951,5.230175872,10.69,-5.66,-0.4
16952,5.230484418,8.54,-6.9,0.43
16953,5.230792965,15.12,3.39,-0.72
16954,5.231101512,14.03,6.55,3.16
16955,5.231410059,3.82,-14.66,5.72
16956,5.231718605,10.63,-2.16,1.21
16957,5.232027152,14.17,14.0,0.4
16958,5.232335699,8.22,-1.78,2.24
16959,5.232644246,10.12,5.09,-0.95
16960,5.232952792,9.17,12.33,-4.14
16961,5.233261339,7.27,-7.19,-2.99
16962,5.233569886,9.57,-17.88,-1.47
16963,5.233878433,7.59,-16.55,-2.79
16964,5.234186979,7.82,-6.75,-3.42
16965,5.234495526,11.09,-0.09,-1.9
16966,5.234804073,8.79,-1.21,-0.32
16967,5.23511262,8.05,8.54,0.2
16968,5.235421166,9.89,13.62,-0.63
16969,5.235729713,8.31,12.1,0.57
16970,5.23603826,10.2,18.25,3.1
16971,5.236346807,12.42,16.55,2.87
16972,5.236655353,10.2,12.85,1.93
16973,5.2369639,12.3,13.05,2.44
16974,5.237272447,14.86,5.55,3.42
16975,5.237580994,12.62,-0.4,2.5
16976,5.23788954,11.64,-5.49,-0.03
16977,5.238198087,9.54,-13.48,-0.09
16978,5.238506634,7.53,-14.17,0.66
16979,5.238815181,9.0,-14.11,-0.32
16980,5.239123727,7.59,-15.06,-1.41
16981,5.239432274,8.65,-9.66,-1.49
16982,5.239740821,11.44,-5.14,-0.26
16983,5.240049367,9.8,-2.13,-0.57
16984,5.240357914,12.85,3.25,0.66
16985,5.240666461,13.22,1.93,5.23
16986,5.240975008,7.79,-5.37,3.62
16987,5.241283554,9.43,0.14,0.26
16988,5.241592101,11.61,7.5,2.27
16989,5.241900648,10.23,2.39,1.24
16990,5.242209195,8.97,8.13,-2.5
16991,5.242517741,8.02,1.35,-3.16
16992,5.242826288,8.42,-26.3,-2.53
16993,5.243134835,7.99,-18.37,-2.36
16994,5.243443382,8.68,-2.39,-3.19
16995,5.243751928,9.25,-9.63,-3.22
16996,5.244060475,9.0,-0.11,-1.44
16997,5.244369022,10.23,12.56,-0.23
16998,5.244677569,8.08,10.43,-0.17
16999,5.244986115,7.7,14.8,0.23
17000,5.245294662,10.89,21.35,2.1
17001,5.245603209,10.49,17.65,3.56
17002,5.245911756,11.29,14.17,2.44
17003,5.246220302,13.08,15.49,1.9
17004,5.246528849,13.28,7.59,3.19
17005,5.246837396,14.28,-1.78,2.99
17006,5.247145943,12.3,-4.05,0.92
17007,5.247454489,8.74,-12.47,-0.14
17008,5.247763036,8.74,-16.93,0.43
17009,5.248071583,9.14,-13.19,0.57
17010,5.24838013,7.07,-15.92,-0.52
17011,5.248688676,8.59,-11.64,-1.41
17012,5.248997223,10.78,-3.39,-0.43
17013,5.24930577,9.4,-5.58,0.2
17014,5.249614317,13.74,5.32,-0.75
17015,5.249922863,12.82,6.81,2.5
17016,5.25023141,5.32,-14.51,5.69
17017,5.250539957,10.98,-0.72,1.72
17018,5.250848504,13.62,10.61,0.2
17019,5.25115705,8.31,-6.81,2.24
17020,5.251465597,10.81,8.79,-0.43
17021,5.251774144,8.62,7.13,-3.28
17022,5.252082691,5.66,-20.2,-2.59
17023,5.252391237,10.09,-9.94,-2.04
17024,5.252699784,8.65,-8.65,-2.85
17025,5.253008331,8.36,-12.73,-3.31
17026,5.253316878,11.41,4.34,-2.39
17027,5.253625424,7.99,5.52,-1.29
17028,5.253933971,7.56,8.51,-0.57
17029,5.254242518,9.89,16.24,0.06
17030,5.254551064,8.68,14.71,1.03
17031,5.254859611,10.03,17.73,2.67
17032,5.255168158,11.87,14.86,3.31
17033,5.255476705,11.47,11.64,2.67
17034,5.255785251,12.93,10.43,2.85
17035,5.256093798,14.46,1.09,3.54
17036,5.256402345,12.62,-3.59,2.27
17037,5.256710892,10.61,-7.9,0.0
17038,5.257019438,8.82,-14.37,0.06
17039,5.257327985,7.9,-13.28,0.49
17040,5.257636532,9.31,-12.65,-0.8
17041,5.257945079,7.76,-12.62,-1.47
17042,5.258253625,9.46,-6.64,-1.24
17043,5.258562172,11.7,-3.31,-0.46
