,Time,A1,A2,A3
23000,7.096575131,9.63,-15.23,3.71
23001,7.096883678,10.12,-14.71,1.93
23002,7.097192225,10.2,-9.71,1.55
23003,7.097500771,10.03,-10.0,1.18
23004,7.097809318,10.95,-4.22,-0.2
23005,7.098117865,10.38,1.7,-0.78
23006,7.098426412,9.77,1.81,-0.78
23007,7.098734958,10.61,4.8,-0.95
23008,7.099043505,10.61,6.21,-0.75
23009,7.099352052,9.69,2.47,-0.75
23010,7.099660599,10.55,2.1,-0.6
23011,7.099969145,10.43,0.92,0.6
23012,7.100277692,9.43,-5.17,0.8
23013,7.100586239,11.09,-4.11,1.18
23014,7.100894786,10.0,-9.51,3.82
23015,7.101203332,7.01,-25.89,3.71
23016,7.101511879,8.59,-18.14,1.06
23017,7.101820426,10.84,-5.37,0.8
23018,7.102128973,10.09,-12.65,0.37
23019,7.102437519,9.86,-3.51,-2.47
23020,7.102746066,10.12,13.51,-4.45
23021,7.103054613,8.05,11.87,-4.48
23022,7.10336316,7.62,15.15,-4.05
23023,7.103671706,8.19,22.5,-3.36
23024,7.103980253,6.81,17.04,-2.01
23025,7.1042888,8.91,13.82,-0.32
23026,7.104597347,10.84,14.66,1.84
23027,7.104905893,11.04,6.64,3.1
23028,7.10521444,14.0,-0.92,3.33
23029,7.105522987,13.13,-5.0,4.11
23030,7.105831533,10.26,-12.39,3.99
23031,7.10614008,10.12,-14.83,2.79
23032,7.106448627,9.63,-12.16,1.98
23033,7.106757174,10.32,-10.63,1.29
23034,7.10706572,10.72,-6.5,0.43
23035,7.107374267,10.35,-0.72,-0.57
23036,7.107682814,10.35,2.3,-1.03
23037,7.107991361,9.94,3.76,-1.01
23038,7.108299907,10.84,6.18,-1.18
23039,7.108608454,10.2,5.14,-1.01
23040,7.108917001,10.09,2.27,-0.83
23041,7.109225548,11.04,2.04,-0.06
23042,7.109534094,9.28,-2.13,0.83
23043,7.109842641,11.41,-3.91,0.72
23044,7.110151188,11.12,-5.52,2.64
23045,7.110459735,6.44,-18.62,4.28
23046,7.110768281,9.2,-21.41,2.16
23047,7.111076828,10.09,-11.7,1.06
23048,7.111385375,8.51,-10.92,0.89
23049,7.111693922,11.29,-7.19,-1.52
23050,7.112002468,9.8,5.2,-3.88
23051,7.112311015,8.05,11.15,-4.63
23052,7.112619562,8.62,12.76,-4.37
23053,7.112928109,7.27,18.39,-3.65
23054,7.113236655,7.3,20.41,-2.64
23055,7.113545202,8.48,15.46,-0.95
23056,7.113853749,9.97,14.71,1.24
23057,7.114162296,10.98,12.44,2.82
23058,7.114470842,12.44,2.76,3.02
23059,7.114779389,14.34,-2.24,3.56
23060,7.115087936,11.93,-7.64,4.48
23061,7.115396483,9.86,-14.8,3.36
23062,7.115705029,10.4,-13.02,1.87
23063,7.116013576,9.83,-10.63,1.7
23064,7.116322123,10.35,-8.91,0.98
23065,7.11663067,10.75,-2.87,-0.23
23066,7.116939216,10.03,0.57,-0.75
23067,7.117247763,10.43,2.67,-0.8
23068,7.11755631,10.52,4.97,-0.86
23069,7.117864857,10.17,4.43,-0.8
23070,7.118173403,10.15,3.02,-0.78
23071,7.11848195,10.32,2.1,-0.46
23072,7.118790497,10.17,-0.43,0.66
23073,7.119099044,10.15,-4.25,0.78
23074,7.11940759,10.58,-5.29,1.47
23075,7.119716137,9.31,-12.21,3.99
23076,7.120024684,8.02,-22.68,3.45
23077,7.12033323,8.91,-16.47,0.95
23078,7.120641777,10.4,-8.91,0.89
23079,7.120950324,10.72,-10.66,0.06
23080,7.121258871,9.71,0.06,-2.82
23081,7.121567417,9.11,12.04,-4.57
23082,7.121875964,8.56,11.75,-4.45
23083,7.122184511,7.79,16.21,-3.88
23084,7.122493058,7.53,21.44,-3.31
23085,7.122801604,7.53,16.73,-1.93
23086,7.123110151,9.05,14.11,0.06
23087,7.123418698,10.38,13.88,2.01
23088,7.123727245,11.75,5.78,3.1
23089,7.124035791,14.03,-1.61,3.48
23090,7.124344338,12.79,-5.29,4.02
23091,7.124652885,10.15,-12.56,3.79
23092,7.124961432,9.89,-15.0,2.7
23093,7.125269978,9.89,-11.55,1.87
23094,7.125578525,10.26,-10.17,1.21
23095,7.125887072,10.81,-6.12,0.26
23096,7.126195619,10.52,0.03,-0.66
23097,7.126504165,10.0,1.87,-0.98
23098,7.126812712,10.2,3.59,-1.01
23099,7.127121259,10.72,6.61,-1.06
23100,7.127429806,9.97,4.63,-0.98
23101,7.127738352,10.61,2.36,-0.75
23102,7.128046899,10.81,2.16,0.2
23103,7.128355446,9.2,-3.05,0.6
23104,7.128663993,11.47,-3.71,0.75
23105,7.128972539,10.78,-5.72,3.02
23106,7.129281086,6.67,-20.89,3.97
23107,7.129589633,9.05,-21.04,1.9
23108,7.12989818,10.17,-8.91,1.24
23109,7.130206726,8.91,-11.44,0.69
23110,7.130515273,10.69,-7.3,-1.95
23111,7.13082382,9.92,7.76,-3.99
23112,7.131132367,8.22,10.86,-4.57
23113,7.131440913,8.28,12.44,-4.31
23114,7.13174946,7.62,20.0,-3.48
23115,7.132058007,7.19,19.4,-2.5
23116,7.132366554,8.54,14.69,-0.8
23117,7.1326751,10.38,15.35,1.55
23118,7.132983647,10.95,11.15,2.99
23119,7.133292194,12.82,1.98,3.08
23120,7.133600741,14.31,-2.39,3.74
23121,7.133909287,11.5,-8.62,4.4
23122,7.134217834,9.74,-15.06,3.13
23123,7.134526381,10.4,-12.65,1.75
23124,7.134834927,9.94,-10.06,1.49
23125,7.135143474,10.29,-9.02,0.8
23126,7.135452021,10.81,-2.53,-0.34
23127,7.135760568,10.03,1.72,-0.75
23128,7.136069114,10.06,2.07,-0.78
23129,7.136377661,10.75,5.26,-0.89
23130,7.136686208,10.23,5.12,-0.66
23131,7.136994755,9.89,1.87,-0.69
23132,7.137303301,10.52,1.93,-0.34
23133,7.137611848,9.94,-0.83,0.69
23134,7.137920395,10.26,-4.25,0.63
23135,7.138228942,10.92,-5.78,1.7
23136,7.138537488,8.59,-14.43,4.08
23137,7.138846035,7.9,-21.27,2.9
23138,7.139154582,9.31,-16.15,0.75
23139,7.139463129,10.23,-10.17,1.03
23140,7.139771675,10.89,-6.98,-0.17
23141,7.140080222,9.6,1.35,-3.22
23142,7.140388769,8.85,11.06,-4.51
23143,7.140697316,8.94,13.74,-4.14
23144,7.141005862,7.64,16.18,-3.91
23145,7.141314409,7.16,20.66,-3.19
23146,7.141622956,7.87,17.33,-1.64
23147,7.141931503,9.37,13.48,0.14
23148,7.142240049,10.38,12.5,2.21
23149,7.142548596,12.07,5.06,3.22
23150,7.142857143,14.26,-1.81,3.45
23151,7.14316569,12.19,-6.9,4.14
23152,7.143474236,10.0,-13.57,3.68
23153,7.143782783,10.17,-13.74,2.59
23154,7.14409133,9.71,-11.47,1.9
23155,7.144399877,10.4,-9.97,0.98
23156,7.144708423,10.81,-4.77,0.2
23157,7.14501697,10.38,0.06,-0.6
23158,7.145325517,10.23,2.56,-1.12
23159,7.145634064,10.12,4.6,-1.03
23160,7.14594261,10.69,6.01,-1.03
23161,7.146251157,10.15,4.17,-0.95
23162,7.146559704,10.38,2.13,-0.66
23163,7.146868251,10.66,1.58,0.26
23164,7.147176797,9.43,-3.36,0.66
23165,7.147485344,11.21,-4.51,0.95
23166,7.147793891,10.26,-7.16,3.33
23167,7.148102438,7.07,-21.01,3.82
23168,7.148410984,9.34,-19.83,1.64
23169,7.148719531,9.94,-9.14,1.24
23170,7.149028078,9.11,-11.87,0.4
23171,7.149336625,10.81,-5.72,-2.3
23172,7.149645171,9.74,9.02,-4.02
23173,7.149953718,8.05,11.18,-4.54
23174,7.150262265,8.28,13.42,-4.17
23175,7.150570811,7.59,20.81,-3.31
23176,7.150879358,7.13,19.83,-2.27
23177,7.151187905,8.79,14.83,-0.52
23178,7.151496452,10.38,14.63,1.7
23179,7.151804998,11.12,10.32,2.93
23180,7.152113545,13.36,1.15,3.08
23181,7.152422092,13.97,-3.51,3.82
23182,7.152730639,11.09,-9.69,4.22
23183,7.153039185,9.92,-15.61,2.85
23184,7.153347732,10.2,-12.65,1.78
23185,7.153656279,9.92,-10.15,1.58
23186,7.153964826,10.49,-8.39,0.66
23187,7.154273372,10.66,-1.75,-0.37
23188,7.154581919,10.03,1.55,-0.66
23189,7.154890466,10.2,2.59,-0.72
23190,7.155199013,10.72,5.78,-0.89
23191,7.155507559,10.26,4.77,-0.8
23192,7.155816106,10.12,2.47,-0.72
23193,7.156124653,10.55,2.16,-0.11
23194,7.1564332,9.8,-1.87,0.78
23195,7.156741746,10.52,-3.97,0.63
23196,7.157050293,10.89,-6.12,2.01
23197,7.15735884,7.99,-17.13,4.22
23198,7.157667387,7.99,-21.07,2.59
23199,7.157975933,9.69,-14.26,0.63
23200,7.15828448,9.97,-11.29,0.95
23201,7.158593027,10.95,-6.67,-0.57
23202,7.158901574,9.86,3.45,-3.51
23203,7.15921012,8.48,10.86,-4.54
23204,7.159518667,8.77,14.14,-4.17
23205,7.159827214,7.76,17.56,-3.79
23206,7.160135761,6.93,20.09,-3.02
23207,7.160444307,8.13,17.16,-1.44
23208,7.160752854,9.71,14.43,0.55
23209,7.161061401,10.29,11.78,2.39
23210,7.161369948,12.42,3.97,3.1
23211,7.161678494,14.28,-1.95,3.54
23212,7.161987041,11.9,-7.64,4.11
23213,7.162295588,10.09,-14.46,3.54
23214,7.162604135,9.92,-14.08,2.39
23215,7.162912681,9.66,-11.47,1.58
23216,7.163221228,10.78,-9.37,1.01
23217,7.163529775,10.78,-4.37,0.23
23218,7.163838322,10.2,0.23,-0.86
23219,7.164146868,10.32,2.9,-1.03
23220,7.164455415,10.29,4.63,-0.86
23221,7.164763962,10.52,5.81,-1.12
23222,7.165072508,10.12,4.34,-1.03
23223,7.165381055,10.58,2.3,-0.6
23224,7.165689602,10.49,0.98,0.37
23225,7.165998149,9.69,-3.54,0.6
23226,7.166306695,10.98,-4.6,1.03
23227,7.166615242,9.51,-8.94,3.51
23228,7.166923789,7.67,-21.41,3.62
23229,7.167232336,9.48,-18.28,1.52
23230,7.167540882,9.77,-9.57,1.24
23231,7.167849429,9.71,-12.01,0.11
23232,7.168157976,10.4,-3.54,-2.53
23233,7.168466523,9.37,9.77,-4.2
23234,7.168775069,8.31,11.18,-4.6
23235,7.169083616,8.08,14.46,-4.08
23236,7.169392163,7.64,20.81,-3.22
23237,7.16970071,7.16,19.05,-2.07
23238,7.170009256,8.97,15.15,-0.23
23239,7.170317803,10.69,14.83,2.04
23240,7.17062635,11.18,9.02,3.19
23241,7.170934897,13.68,0.63,2.99
23242,7.171243443,13.8,-3.59,3.82
23243,7.17155199,10.72,-11.5,4.25
23244,7.171860537,10.03,-15.72,2.62
23245,7.172169084,10.06,-11.47,1.64
23246,7.17247763,10.0,-10.61,1.52
23247,7.172786177,10.63,-8.08,0.57
23248,7.173094724,10.49,-1.01,-0.46
23249,7.173403271,10.15,1.7,-0.69
23250,7.173711817,10.38,3.31,-0.75
23251,7.174020364,10.66,5.95,-0.83
23252,7.174328911,10.0,4.08,-0.69
23253,7.174637458,10.15,2.53,-0.75
