Time;     A1;     A2;     A3
0;9,97;-0,29;0,23
0,000308547;10;-0,34;0,23
0,000617093;9,94;-0,37;0,23
0,00092564;9,97;-0,34;0,23
0,001234187;9,94;-0,34;0,23
0,001542734;10;-0,34;0,29
0,00185128;9,97;-0,34;0,34
0,002159827;9,94;-0,37;0,32
0,002468374;10,06;-0,37;0,37
0,002776921;10,03;-0,37;0,34
0,003085467;10;-0,4;0,34
0,003394014;10,06;-0,37;0,34
0,003702561;9,94;-0,34;0,32
0,004011108;9,97;-0,34;0,29
0,004319654;10;-0,37;0,26
0,004628201;9,94;-0,37;0,23
0,004936748;9,97;-0,4;0,26
0,005245295;9,97;-0,34;0,2
0,005553841;9,94;-0,37;0,23
0,005862388;9,97;-0,37;0,23
0,006170935;9,97;-0,37;0,26
0,006479482;10;-0,37;0,29
0,006788028;9,97;-0,4;0,32
0,007096575;9,94;-0,4;0,32
0,007405122;10;-0,37;0,34
0,007713669;9,97;-0,37;0,34
0,008022215;9,92;-0,37;0,32
0,008330762;10,03;-0,37;0,34
0,008639309;10,03;-0,34;0,29
0,008947856;9,89;-0,37;0,26
0,009256402;9,97;-0,37;0,2
0,009564949;10,03;-0,37;0,2
0,009873496;9,97;-0,37;0,23
0,010182043;9,97;-0,37;0,2
0,010490589;9,97;-0,34;0,2
0,010799136;9,97;-0,37;0,26
0,011107683;9,97;-0,37;0,29
0,01141623;10;-0,4;0,32
0,011724776;10,06;-0,4;0,32
0,012033323;10,03;-0,37;0,37
0,01234187;9,97;-0,4;0,37
0,012650417;10,06;-0,37;0,37
0,012958963;10;-0,37;0,32
0,01326751;9,94;-0,4;0,29
0,013576057;9,97;-0,37;0,32
0,013884604;9,97;-0,37;0,23
0,01419315;9,97;-0,37;0,2
0,014501697;9,97;-0,37;0,2
0,014810244;9,94;-0,37;0,23
0,01511879;10;-0,37;0,23
0,015427337;10;-0,34;0,23
0,015735884;9,97;-0,37;0,26
0,016044431;10;-0,4;0,32
0,016352977;9,97;-0,37;0,37
0,016661524;9,97;-0,37;0,34
0,016970071;10,03;-0,37;0,37
0,017278618;10;-0,4;0,32
0,017587164;9,97;-0,37;0,29
0,017895711;9,97;-0,34;0,29
0,018204258;9,97;-0,37;0,23
0,018512805;9,97;-0,37;0,23
0,018821351;9,97;-0,37;0,23
0,019129898;9,94;-0,34;0,23
0,019438445;9,97;-0,37;0,2
0,019746992;9,94;-0,37;0,26
0,020055538;9,97;-0,34;0,23
0,020364085;10;-0,37;0,26
0,020672632;9,97;-0,37;0,29
0,020981179;10;-0,4;0,34
0,021289725;9,94;-0,4;0,32
0,021598272;9,97;-0,37;0,32
0,021906819;10,06;-0,37;0,32
0,022215366;9,97;-0,37;0,32
0,022523912;9,94;-0,37;0,29
0,022832459;10,03;-0,34;0,32
0,023141006;10;-0,4;0,29
0,023449553;9,94;-0,37;0,26
0,023758099;10;-0,37;0,23
0,024066646;10;-0,37;0,2
0,024375193;9,97;-0,37;0,2
0,02468374;9,97;-0,34;0,23
0,024992286;9,97;-0,4;0,29
0,025300833;10;-0,4;0,32
0,02560938;9,97;-0,34;0,32
0,025917927;9,97;-0,37;0,34
0,026226473;9,97;-0,37;0,34
0,02653502;9,97;-0,4;0,34
0,026843567;10;-0,4;0,37
0,027152114;9,97;-0,37;0,32
0,02746066;9,97;-0,37;0,29
0,027769207;9,97;-0,34;0,26
0,028077754;9,97;-0,4;0,2
0,028386301;9,97;-0,37;0,23
0,028694847;9,97;-0,37;0,23
0,029003394;9,97;-0,37;0,23
0,029311941;9,97;-0,37;0,26
0,029620488;10;-0,4;0,29
0,029929034;9,97;-0,37;0,32
0,030237581;9,97;-0,37;0,32
0,030546128;10,03;-0,37;0,34
0,030854674;10,09;-0,4;0,32
0,031163221;10;-0,37;0,34
0,031471768;9,94;-0,4;0,32
0,031780315;10;-0,4;0,34
0,032088861;9,97;-0,37;0,29
0,032397408;9,97;-0,4;0,23
0,032705955;9,97;-0,4;0,2
0,033014502;9,97;-0,37;0,23
0,033323048;9,97;-0,4;0,2
0,033631595;9,97;-0,37;0,23
0,033940142;9,94;-0,34;0,23
0,034248689;9,97;-0,34;0,26
0,034557235;10;-0,4;0,29
0,034865782;9,97;-0,37;0,32
0,035174329;10;-0,37;0,32
0,035482876;10,03;-0,4;0,37
0,035791422;10;-0,37;0,34
0,036099969;10;-0,4;0,32
0,036408516;9,97;-0,37;0,29
0,036717063;9,94;-0,34;0,32
0,037025609;9,97;-0,37;0,29
0,037334156;10;-0,4;0,23
0,037642703;9,94;-0,37;0,23
